application,size,branch,l1i_pref,l1d_pref,l2c_pref,llc_pref,llc_rep,inst,cycles,ipc,l1i_tot_hit,l1i_tot_miss,l1i_pref_issued,l1i_pref_useful,l1i_pref_useless,l1i_lat,l1d_tot_hit,l1d_tot_miss,l1d_pref_issued,l1d_pref_useful,l1d_pref_useless,l1d_lat,l2c_tot_hit,l2c_tot_miss,l2c_pref_issued,l2c_pref_useful,l2c_pref_useless,l2c_lat,llc_tot_hit,llc_tot_miss,llc_pref_issued,llc_pref_useful,llc_pref_useless,llc_lat,branch_acc,mpki,branch_direct,branch_indirect,branch_cond,branch_dir_call,branch_ind_call,branch_ret
bzip2,38B,bimodal,next_line,next_line,ip_stride,no,lru,200000000,184757102,1.0825,34160101,96,437,120,0,172.896,97819145,3362286,52060165,461876,1222830,29.9886,3731202,1017945,951905,174978,338701,66.2133,1221855,205390,0,24327,90059,179.655,90.8673,13.1804,1.28967,0,12.1421,0.500209,0,0.500209
bzip2,38B,bimodal,no,no,no,no,lru,200000000,195467375,1.02319,34224159,94,0,0,0,224.883,60230930,2152474,0,0,0,43.1543,2019514,822533,0,0,0,73.4242,1017855,201652,0,0,0,177.108,90.8673,13.1804,1.28967,0,12.1421,0.500209,0,0.500209
bzip2,38B,hashed_perceptron,next_line,next_line,kpcp,next_line,drrip,200000000,173664293,1.15165,34523631,96,420,108,0,125.177,96458068,3362797,51331808,469743,1223361,29.3674,3338339,994081,2139359,158264,318569,55.8649,3173970,212079,2024460,33574,82707,188.965,93.1077,9.94713,1.28967,0,12.1421,0.500209,0,0.500209
gcc,48B,bimodal,next_line,next_line,ip_stride,no,lru,200000001,148316400,1.34847,52002311,0,137,29,0,nan,99041963,1878546,44585685,462150,703967,20.8461,2038244,73905,258664,6335,33782,183.675,18343,70894,0,634,26064,159.567,99.3675,1.40859,3.02167,1.48105,14.7201,1.51518,0.0084865,1.52366
gcc,48B,bimodal,no,no,no,no,lru,200000001,148161475,1.34988,51903060,2,0,0,0,215,68279161,177559,0,0,0,65.2949,146322,49499,0,0,0,179.99,16391,48263,0,0,0,153.63,99.3675,1.40859,3.02167,1.48105,14.7201,1.51518,0.0084865,1.52366
gcc,48B,hashed_perceptron,next_line,next_line,kpcp,next_line,drrip,200000001,142702404,1.40152,52125402,1,139,27,0,44,98526694,1878403,44338437,461556,703927,19.6287,1843847,71567,249383,4635,30933,135.822,396470,87139,304842,14297,41468,164.114,99.8948,0.23418,3.02167,1.48105,14.7201,1.51518,0.0084865,1.52366
povray,252B,bimodal,next_line,next_line,ip_stride,no,lru,200000002,262652343,0.761463,34548183,908213,1470614,293192,142022,12.3644,107785161,3665796,56513065,677288,1202781,14.1007,5317435,1737,448163,1334,714,151.945,162,1597,0,16,0,132.572,93.5567,9.53053,0.996704,0.021924,9.06942,1.69565,0.656016,2.35167
povray,252B,bimodal,no,no,no,no,lru,200000002,262432865,0.7621,34466890,664319,0,0,0,14.0684,69410574,1284856,0,0,0,15.2258,2177341,1475,0,0,0,162.832,6,1470,0,0,0,133.052,93.5567,9.53053,0.996704,0.021924,9.06942,1.69565,0.656016,2.35167
povray,252B,hashed_perceptron,next_line,next_line,kpcp,next_line,drrip,200000002,218186844,0.916646,43337650,891331,1533708,296312,137762,12.484,103246154,3664971,54277615,685477,1202242,14.2196,4992946,1944,357778,1385,70,81.5417,490040,2790,347998,727,27,145.447,99.7498,0.37001,0.996704,0.021924,9.06942,1.69565,0.656016,2.35167
calculix,460B,bimodal,next_line,next_line,ip_stride,no,lru,200000001,111714149,1.79028,34262624,576,727,140,41,167.109,73283263,2555283,45580126,2621489,55603,20.9904,7098424,893674,6114281,19521,829876,54.0703,954249,191796,0,10894,171702,111.747,98.7532,0.643275,0.050287,9e-06,4.99263,0.05817,0,0.05817
calculix,460B,bimodal,no,no,no,no,lru,200000003,119904664,1.66799,34364559,465,0,0,0,193.578,35183940,2511779,0,0,0,33.0962,2195622,827090,0,0,0,54.8284,885077,190364,0,0,0,107.864,98.7532,0.643275,0.050287,9e-06,4.99263,0.05817,0,0.05817
calculix,460B,hashed_perceptron,next_line,next_line,kpcp,next_line,drrip,200000001,109843219,1.82078,34071894,587,727,149,38,111.17,72515378,2555262,45495781,2617396,55586,23.4307,2559078,911241,3250913,26245,845070,40.906,3518616,229019,2825131,24739,214196,142.587,99.8856,0.059035,0.050287,9e-06,4.99263,0.05817,0,0.05817
astar,42B,bimodal,next_line,next_line,ip_stride,no,lru,200000002,587773686,0.340267,39541283,127,168,34,0,174.78,74178270,10645795,45328374,817337,5983195,42.7234,7471343,5377864,328025,140709,3296585,51.7824,5768331,627768,0,144811,334215,167.636,72.2344,52.4127,0.013436,0,18.8589,0.0022445,0,0.0022445
astar,42B,bimodal,no,no,no,no,lru,200000002,618902509,0.323153,39541843,114,0,0,0,209.825,44200915,5704484,0,0,0,44.5021,5361320,2220220,0,0,0,66.2163,2538578,468654,0,0,0,164.397,72.2344,52.4127,0.013436,0,18.8589,0.0022445,0,0.0022445
astar,42B,hashed_perceptron,next_line,next_line,kpcp,next_line,drrip,200000002,460545620,0.434267,36947479,125,155,39,0,153.624,68133089,10645500,42529435,790015,5983039,44.4922,8146894,5766169,4485539,145731,3637975,48.1522,11051418,1093838,8202174,177005,806100,175.363,84.4288,29.3935,0.013436,0,18.8589,0.0022445,0,0.0022445
