application,size,branch,l1i_pref,l1d_pref,l2c_pref,llc_pref,llc_rep,inst,cycles,ipc,l1i_tot_hit,l1i_tot_miss,l1i_pref_issued,l1i_pref_useful,l1i_pref_useless,l1i_lat,l1d_tot_hit,l1d_tot_miss,l1d_pref_issued,l1d_pref_useful,l1d_pref_useless,l1d_lat,l2c_tot_hit,l2c_tot_miss,l2c_pref_issued,l2c_pref_useful,l2c_pref_useless,l2c_lat,llc_tot_hit,llc_tot_miss,llc_pref_issued,llc_pref_useful,llc_pref_useless,llc_lat,branch_acc,mpki,branch_direct,branch_indirect,branch_cond,branch_dir_call,branch_ind_call,branch_ret
bzip2,38B,bimodal,next_line,stream64,ip_stride,no,lru,200000000,184232454,1.08559,34155111,96,441,116,0,176.646,176830254,6946681,160731706,669590,4604281,24.847,8581789,1568962,8896126,274373,819001,52.9309,1784114,212402,0,32997,96531,170.725,90.8673,13.1804,1.28967,0,12.1421,0.500209,0,0.500209
bzip2,38B,bimodal,no,stream64,no,no,lru,200000000,186353951,1.07323,34184791,94,0,0,0,241.564,174924335,6940140,159552076,666985,4599626,26.899,6322047,1400258,0,203828,669334,55.1356,1612656,209672,0,32215,77008,167.895,90.8673,13.1804,1.28967,0,12.1421,0.500209,0,0.500209
bzip2,38B,hashed_perceptron,next_line,stream64,kpcp,next_line,drrip,200000000,173590801,1.15213,34521790,96,400,129,0,80.4688,171678110,6865483,156212151,663358,4526562,24.7095,6487937,1471024,4290568,255766,721180,48.0901,3988499,218000,2723551,41879,84990,183.754,93.1077,9.94713,1.28967,0,12.1421,0.500209,0,0.500209
gcc,48B,bimodal,next_line,stream64,ip_stride,no,lru,200000001,149546349,1.33738,52142338,0,146,27,0,nan,163168340,9784692,136842847,1416608,7684553,17.9062,13559771,135008,16045195,16605,101972,198.889,26785,124323,0,1374,88491,181.187,99.3675,1.40859,3.02167,1.48105,14.7201,1.51518,0.0084865,1.52366
gcc,48B,bimodal,no,stream64,no,no,lru,200000001,150023111,1.33313,52143399,2,0,0,0,221.5,163108701,9785679,136816428,1417509,7687787,18.1437,9727396,116343,0,12549,80593,193.386,23579,108309,0,1194,67820,173.14,99.3675,1.40859,3.02167,1.48105,14.7201,1.51518,0.0084865,1.52366
gcc,48B,hashed_perceptron,next_line,stream64,kpcp,next_line,drrip,200000001,145330883,1.37617,52272073,1,145,27,0,44,161436465,9761790,135300953,1407783,7666211,17.798,9713256,120478,439592,12102,85414,176.8,220823,140809,276624,7022,104997,191.878,99.8948,0.23418,3.02167,1.48105,14.7201,1.51518,0.0084865,1.52366
povray,252B,bimodal,next_line,stream64,ip_stride,no,lru,200000002,261639941,0.764409,34222627,905026,1497161,283988,142007,12.3458,230175456,12843187,222739215,2213531,9459441,15.4169,18416799,8957,22149095,2627,6970,62.3603,7190,2054,0,90,0,140.527,93.5567,9.53053,0.996704,0.021924,9.06942,1.69565,0.656016,2.35167
povray,252B,bimodal,no,stream64,no,no,lru,200000002,262714298,0.761283,34056347,664319,0,0,0,14.0793,230778367,12882412,223282893,2222242,9487609,15.5602,14163842,2977,0,1790,618,120.262,1129,1982,0,33,0,134.903,93.5567,9.53053,0.996704,0.021924,9.06942,1.69565,0.656016,2.35167
povray,252B,hashed_perceptron,next_line,stream64,kpcp,next_line,drrip,200000002,217575228,0.919222,42985945,893759,1550292,290010,139458,12.4493,208611111,12381936,201841271,2184038,9017912,15.6142,13896456,4281,754968,2460,2533,70.5543,857635,2784,579029,404,50,149.426,99.7498,0.37001,0.996704,0.021924,9.06942,1.69565,0.656016,2.35167
calculix,460B,bimodal,next_line,stream64,ip_stride,no,lru,200000003,111852441,1.78807,34264308,581,730,139,43,169.47,97135997,2612270,71033841,1711191,127422,26.0663,5464597,927520,6180961,306337,553451,53.7521,988554,195336,0,14771,165569,112.808,98.7532,0.643275,0.050287,9e-06,4.99263,0.05817,0,0.05817
calculix,460B,bimodal,no,stream64,no,no,lru,200000003,112524372,1.77739,34271373,465,0,0,0,194.935,95698534,2612645,70514134,1721411,127747,32.4607,2210125,913734,0,157861,566688,53.1322,973177,195246,0,32930,133622,107.821,98.7532,0.643275,0.050287,9e-06,4.99263,0.05817,0,0.05817
calculix,460B,hashed_perceptron,next_line,stream64,kpcp,next_line,drrip,200000002,109468522,1.82701,34068163,574,709,149,36,109.841,96786132,2608486,70859692,1876296,123443,26.9969,2474317,923527,3746774,209569,590412,45.5639,2992306,230287,2588277,60599,182451,138.255,99.8856,0.059035,0.050287,9e-06,4.99263,0.05817,0,0.05817
astar,42B,bimodal,next_line,stream64,ip_stride,no,lru,200000000,689068720,0.290247,39541412,128,169,34,0,186.758,144320543,38131409,152205587,949758,36278936,67.5375,12980568,39390736,76964736,267811,38430911,63.0916,33912302,7515330,0,180846,7165901,159.202,72.2344,52.4127,0.013436,0,18.8589,0.0022445,0,0.0022445
astar,42B,bimodal,no,stream64,no,no,lru,200000000,657576147,0.304147,39541240,114,0,0,0,216.096,144511269,38151112,152280417,953308,36300712,60.8768,10667875,29487363,0,222632,27924701,54.9379,26871051,4183094,0,180509,3887667,154.169,72.2344,52.4127,0.013436,0,18.8589,0.0022445,0,0.0022445
astar,42B,hashed_perceptron,next_line,stream64,kpcp,next_line,drrip,200000000,553869298,0.361096,36947966,125,152,41,0,131.288,116870011,36792730,126990576,915358,34899051,70.3717,13759466,33941522,116493664,247676,32597602,63.4686,47936226,8494832,51315133,200394,8224296,173.698,84.4288,29.3935,0.013436,0,18.8589,0.0022445,0,0.0022445
