application,size,branch,l1i_pref,l1d_pref,l2c_pref,llc_pref,llc_rep,inst,cycles,ipc,l1i_tot_hit,l1i_tot_miss,l1i_pref_issued,l1i_pref_useful,l1i_pref_useless,l1i_lat,l1d_tot_hit,l1d_tot_miss,l1d_pref_issued,l1d_pref_useful,l1d_pref_useless,l1d_lat,l2c_tot_hit,l2c_tot_miss,l2c_pref_issued,l2c_pref_useful,l2c_pref_useless,l2c_lat,llc_tot_hit,llc_tot_miss,llc_pref_issued,llc_pref_useful,llc_pref_useless,llc_lat,branch_acc,mpki,branch_direct,branch_indirect,branch_cond,branch_dir_call,branch_ind_call,branch_ret
bzip2,38B,bimodal,stream8,next_line,ip_stride,no,lru,200000000,186641136,1.07158,34166773,89,952,241,3,174.562,60866313,2152608,0,0,0,36.3886,2625533,845802,852895,178993,16382,72.3552,1043440,201698,0,12371,81152,181.938,90.8673,13.1804,1.28967,0,12.1421,0.500209,0,0.500209
bzip2,38B,bimodal,stream8,no,no,no,lru,200000000,195451563,1.02327,34223949,89,968,241,3,201.461,60231120,2152474,0,0,0,43.171,2019026,823024,0,0,338,73.4219,1018382,201609,0,0,338,177.24,90.8673,13.1804,1.28967,0,12.1421,0.500209,0,0.500209
bzip2,38B,hashed_perceptron,stream8,next_line,kpcp,next_line,drrip,200000000,175057322,1.14248,34534724,89,944,241,3,172.236,60110772,2152608,0,0,0,35.5253,2275531,829344,1582012,190122,5492,62.8719,2615279,209057,1569166,35720,73987,202.472,93.1077,9.94713,1.28967,0,12.1421,0.500209,0,0.500209
gcc,48B,bimodal,stream8,next_line,ip_stride,no,lru,200000001,146912521,1.36135,51901734,0,456,52,0,nan,68291412,177562,0,0,0,57.3944,164415,51759,25531,10383,2749,180.255,16372,50541,0,18,6691,153.638,99.3675,1.40859,3.02167,1.48105,14.7201,1.51518,0.0084865,1.52366
gcc,48B,bimodal,stream8,no,no,no,lru,200000001,148161098,1.34988,51903063,0,456,55,0,nan,68279161,177559,0,0,0,65.2953,146322,49497,0,0,119,179.99,16390,48262,0,0,119,153.628,99.3675,1.40859,3.02167,1.48105,14.7201,1.51518,0.0084865,1.52366
gcc,48B,hashed_perceptron,stream8,next_line,kpcp,next_line,drrip,200000001,141246811,1.41596,52021916,0,376,51,0,nan,68045918,177550,0,0,0,48.8242,150651,50299,69118,5088,976,123.894,128395,73896,115874,19983,23023,154.749,99.8948,0.23418,3.02167,1.48105,14.7201,1.51518,0.0084865,1.52366
povray,252B,bimodal,stream8,next_line,ip_stride,no,lru,200000002,261507759,0.764796,35213875,2988202,9261033,1205314,1766115,14.6441,69304257,1284734,0,0,0,15.2192,5368531,1755,6119703,514,61,148.384,244,1526,0,2,0,135.954,93.5567,9.53053,0.996704,0.021924,9.06942,1.69565,0.656016,2.35167
povray,252B,bimodal,stream8,no,no,no,lru,200000002,261513541,0.764779,35219389,2988666,9298867,1209965,1778258,14.5699,69306919,1284733,0,0,0,15.2187,4501316,1502,0,369,8,163.862,10,1492,0,0,0,134.227,93.5567,9.53053,0.996704,0.021924,9.06942,1.69565,0.656016,2.35167
povray,252B,hashed_perceptron,stream8,next_line,kpcp,next_line,drrip,200000002,217561575,0.91928,44169092,2947910,9279238,1201405,1751642,14.6199,66961886,1284855,0,0,0,15.154,4463727,1944,212770,710,47,86.9516,247726,2553,198814,1330,31,143.667,99.7498,0.37001,0.996704,0.021924,9.06942,1.69565,0.656016,2.35167
calculix,460B,bimodal,stream8,next_line,ip_stride,no,lru,200000003,113737714,1.75843,34287378,1069,2736,310,399,159.398,36815381,2511779,0,0,0,21.6874,7223003,862690,6203793,598232,21282,54.9483,921725,192049,0,10669,128525,115.829,98.7532,0.643275,0.050287,9e-06,4.99263,0.05817,0,0.05817
calculix,460B,bimodal,stream8,no,no,no,lru,200000003,119844001,1.66884,34365260,1038,2664,303,374,169.712,35222620,2511779,0,0,0,32.9179,2210715,812570,0,1,988,55.3634,870146,190951,0,10,931,107.894,98.7532,0.643275,0.050287,9e-06,4.99263,0.05817,0,0.05817
calculix,460B,hashed_perceptron,stream8,next_line,kpcp,next_line,drrip,200000003,109990217,1.81834,34076005,1072,2672,305,389,152.103,36865160,2511779,0,0,0,20.0883,2728420,858167,5257519,598605,18688,36.5715,4750707,233178,3867791,89308,155828,142.293,99.8856,0.059035,0.050287,9e-06,4.99263,0.05817,0,0.05817
astar,42B,bimodal,stream8,next_line,ip_stride,no,lru,200000002,616472208,0.324427,39541975,186,600,63,0,194.935,44201712,5704503,0,0,0,44.0344,5468324,2236604,145060,19333,14302,66.3944,2551154,474761,0,6527,18411,164.313,72.2344,52.4127,0.013436,0,18.8589,0.0022445,0,0.0022445
astar,42B,bimodal,stream8,no,no,no,lru,200000002,618911903,0.323148,39542032,192,608,65,0,215.958,44200846,5704484,0,0,0,44.509,5360470,2221148,0,0,172,66.2155,2539870,468810,0,0,172,164.4,72.2344,52.4127,0.013436,0,18.8589,0.0022445,0,0.0022445
astar,42B,hashed_perceptron,stream8,next_line,kpcp,next_line,drrip,200000002,454330449,0.440208,36947946,191,488,71,0,220.476,41039197,5703328,0,0,0,42.2828,5588587,2289896,603252,57876,40956,54.325,4924563,664915,2998185,281669,250177,174.657,84.4288,29.3935,0.013436,0,18.8589,0.0022445,0,0.0022445
